2026-02-09 16:12:00,002 | INFO | apscheduler.executors.default | Job "send_reminders (trigger: cron[minute='*'], next run at: 2026-02-09 16:13:00 MSK)" executed successfully
2026-02-09 16:12:27,738 | INFO | aiogram.event | Update id=740455282 is handled. Duration 305 ms by bot id=8347167918
2026-02-09 16:12:42,295 | INFO | aiogram.event | Update id=740455283 is handled. Duration 118 ms by bot id=8347167918
2026-02-09 16:12:47,199 | INFO | aiogram.event | Update id=740455284 is handled. Duration 210 ms by bot id=8347167918
2026-02-09 16:12:56,717 | WARNING | habit | User 1522889435 deleted habit 22
2026-02-09 16:12:57,125 | INFO | aiogram.event | Update id=740455285 is handled. Duration 408 ms by bot id=8347167918
2026-02-09 16:13:00,014 | INFO | apscheduler.executors.default | Running job "send_reminders (trigger: cron[minute='*'], next run at: 2026-02-09 16:14:00 MSK)" (scheduled at 2026-02-09 16:13:00+03:00)
2026-02-09 16:13:00,015 | INFO | scheduler | Напоминания запущены
2026-02-09 16:13:00,016 | INFO | apscheduler.executors.default | Job "send_reminders (trigger: cron[minute='*'], next run at: 2026-02-09 16:14:00 MSK)" executed successfully
2026-02-09 16:13:11,247 | INFO | aiogram.dispatcher | Polling stopped
2026-02-09 16:13:11,249 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-02-09 16:13:11,249 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8347167918)
2026-02-09 16:13:11,511 | INFO | aiogram.dispatcher | Polling stopped for bot @HabitTracke_bot id=8347167918 - 'Habit_TrackerBot'
